player_name,predicted_points
Jalen Brooks,26.429571
Kayshon Boutte,26.429571
Tommy Tremble,26.329859
Jordan Akins,26.329859
Lucas Krull,26.329859
Adam Prentice,26.250156
Tyler Goodson,26.054409
Jeremy Ruckert,25.871958
Stone Smartt,25.871958
Pharaoh Brown,25.871958
Geoff Swaim,25.871958
Marcedes Lewis,25.628729
Quintin Morris,25.628729
Tank Bigsby,25.464846
Luke Farrell,25.436653
Velus Jones,24.750029
Marquise Goodwin,24.625319
Charlie Woerner,24.405645
MyCole Pruitt,24.405645
Luke Schoonmaker,24.405645
Josiah Deguara,24.405645
Stephen Sullivan,24.405645
Will Dissly,24.405645
Josh Whyle,24.405645
Raheem Blackshear,23.954885
Dak Prescott,23.935867
Jalen Nailor,23.421816
Justyn Ross,23.421816
Kyle Juszczyk,22.080046
Steven Sims,22.024893
Collin Johnson,22.024893
Erik Ezukanma,21.543732
Mike Boone,20.24391
Tyler Johnson,20.215525
Jonathan Ward,19.974312
Tylan Wallace,19.37919
Irvin Charles,19.37919
Kenyan Drake,19.27706
Payne Durham,19.03383
Ian Thomas,19.03383
Grant Calcaterra,19.03383
Jack Stoll,19.03383
Chris Manhertz,19.03383
Peyton Hendershot,19.03383
Julian Hill,19.03383
Patrick Ricard,19.03383
Mason Kinsey,18.881456
Sean Tucker,18.831995
Trent Taylor,17.966425
Rachaad White,17.775557
James Proche,17.692581
Greg Dulcich,17.636908
Nate Adkins,17.636908
Kenny Yeboah,17.636908
Eric Saubert,17.636908
Reggie Gilliam,16.930948
Travis Homer,16.785582
JaMycal Hasty,16.785582
Jordan Mims,16.785582
Amon-Ra St. Brown,15.27289
Dan Skipper,15.052254
Ross Dwelley,14.991207
Tucker Fisk,14.493474
Nick Vannett,14.493474
John FitzPatrick,14.493474
Jalen Reeves-Maybin,14.35905
Michael Burton,13.830006
Tyrion Davis-Price,13.139038
Jason Cabinda,12.976316
Ashtyn Davis,9.945468
Ashtyn Davis,9.945468
Johnny Hekker,5.1781683
Tyler Linderbaum,3.4782503
Hjalte Froholdt,3.4782503
Creed Humphrey,3.4782503
Riley Dixon,3.2746103
Tress Way,3.2746103
A.J. Cole,3.2746103
Bryan Anger,3.2746103
